INLINE ItemTable,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit/Def,Wt,Crit/Res,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Metis's Tome,0x3f5,0x4a6,0x4df,0x89,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0xdc,0x2e,NoEffect,0,0x0,0x0,0x0
Heaven Seal (DUMMY),0x403,0x4ab,0x0,0x8a,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,0x9c,0x2f,NoEffect,0,0x0,0x0,0x0
Sharp Claw,0x39d,0x44d,0x0,0x8b,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,14,65,14,0,0x11,0,NoRank,0xd0,0x0,NoEffect,0,0x0,0x0,0x0
Latona,0x3d1,0x480,0x4be,0x8c,0x4,IsStaff|Unsellable,0x0,0x0,3,0,100,5,0,0xff,0,SRank,0xc3,0x37,NoEffect,1,0x0,0x0,0x0
Dragonspear,0x377,0x427,0x0,0x8d,0x1,IsWeapon,0x0,DragonEffectiveness|IsPointer,30,10,70,8,0,0x11,150,CRank,0xb6,0x0,NoEffect,1,0x0,0x0,0x0
Vidofnir,0x376,0x426,0x0,0x8e,0x1,IsWeapon|Unsellable,0x88aef60,SacredWeaponEffectiveness|IsPointer,30,15,85,11,0,0x11,0,SRank,0xb5,0x0,NoEffect,1,0x0,0x0,0x0
Naglfar,0x3bc,0x46b,0x0,0x8f,0x7,IsWeapon|IsMagic|Indestructible,0x0,0x0,0,25,95,18,0,0x12,0,SRank,0xbd,0x0,NoEffect,1,0x0,0x0,0x0
Wretched Air,0x397,0x447,0x4ac,0x90,0xb,IsWeapon|Indestructible|MonsterWeapon|NegateDef,0x88aef6c,0x0,0,10,100,0,0,0x12,0,ARank,0x79,0x0,NoEffect,0,0x0,0x0,0x0
Audhulma,0x367,0x417,0x0,0x91,0x0,IsWeapon|Unsellable,0x88aef78,SacredWeaponEffectiveness|IsPointer,30,18,85,9,0,0x11,0,SRank,0xb1,0x0,NoEffect,1,0x0,0x0,0x0
Siegmund,0x375,0x425,0x0,0x92,0x1,IsWeapon|Unsellable|EphraimLock,0x88aef84,SacredWeaponEffectiveness|IsPointer,30,17,80,11,0,0x11,0,NoRank,0xb4,0x0,NoEffect,1,0x0,0x0,0x0
Garm,0x389,0x438,0x0,0x93,0x2,IsWeapon|Unsellable,0x88aef90,SacredWeaponEffectiveness|IsPointer,30,20,75,13,0,0x11,0,SRank,0xb7,0x0,NoEffect,1,0x0,0x0,0x0
Nidhogg,0x396,0x446,0x0,0x94,0x3,IsWeapon|Unsellable,0x88aef9c,FlierAndMonster2|IsPointer,30,18,80,7,0,0x22,0,SRank,0xba,0x0,NoEffect,1,0x0,0x0,0x0
Heavy Lance,0x378,0x428,0x0,0x95,0x1,IsWeapon,0x0,ArmorEffectiveness|IsPointer,16,9,70,14,0,0x11,75,DRank,0xa7,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x379,0x429,0x0,0x96,0x1,0x0,0x0,0x0,18,9,60,12,0,0x12,50,CRank,0xa8,0x0,NoEffect,1,0x0,0x0,0x0
Ocean Seal,0x3f6,0x4a7,0x4e0,0x97,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0xa9,0x30,NoEffect,0,0x0,0x0,0x0
Lunar Brace,0x3f7,0x4a8,0x4e1,0x98,0x9,Unsellable,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0xd8,0x31,NoEffect,0,0x0,0x0,0x0
Solar Brace,0x3f8,0x4a9,0x4e2,0x99,0x9,Unsellable,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0xd7,0x32,NoEffect,0,0x0,0x0,0x0
1G,0x3f9,0x4a1,0x4da,0x9a,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,1,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
5G,0x3fa,0x4a1,0x4da,0x9b,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,5,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
10G,0x3fb,0x4a1,0x4da,0x9c,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
50G,0x3fc,0x4a1,0x4da,0x9d,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,50,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
100G,0x3fd,0x4a1,0x4da,0x9e,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,100,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
3000G,0x400,0x4a1,0x4da,0x9f,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,3000,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
5000G,0x401,0x4a1,0x4da,0xa0,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,5000,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
Wind Sword,0x368,0x418,0x0,0xa1,0x0,IsWeapon|MagicDamage,0x0,FlierEffectiveness|IsPointer,40,9,70,9,0,0x12,200,BRank,0xaa,0x0,NoEffect,1,0x0,0x0,0x0
Vulnerary,0x3e5,0x494,0x4d2,0xa2,0x9,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0x6a,0x33,NoEffect,0,0x0,0x0,0x0
Vulnerary (green note),0x3e5,0x494,0x4d2,0xa3,0x9,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0xab,0x34,NoEffect,0,0x0,0x0,0x0
Vulnerary (red note),0x3e5,0x494,0x4d2,0xa4,0x9,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0xac,0x35,NoEffect,0,0x0,0x0,0x0
Dance,0x3d2,0x481,0x4bf,0xa5,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,0,0x0,0x0,0x0
Nightmare,0x39c,0x44c,0x0,0xa6,0x4,IsStaff,0x88aefa8,0x0,1,0,70,8,0,0x13,0,NoRank,0xc7,0x35,NoEffect,0,0x0,"ItemStatus(SleepStatusID,5)",0x0
Demon Stone (DUMMY),0x399,0x449,0x4ae,0xa7,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,10,65,0,0,0x11,0,NoRank,0x88,0x0,NoEffect,0,0x0,0x0,0x0
Demon Light,0x39a,0x44a,0x0,0xa8,0xb,IsWeapon|Indestructible|MonsterWeapon,0x88aefb4,0x0,0,15,60,0,0,0x13,0,NoRank,0xc5,0x0,NoEffect,0,0x0,0x0,0x0
Ravager,0x39b,0x44b,0x0,0xa9,0xb,IsWeapon|Indestructible|MonsterWeapon,0x88aefc0,0x0,0,15,85,0,10,0x11,0,NoRank,0xc6,0x0,NoEffect,0,0x0,0x0,0x0
Dragonstone,0x398,0x448,0x4ad,0xaa,0xb,IsWeapon|IsMagic|Indestructible|MonsterWeapon,0x88aefcc,MonsterEffectiveness|IsPointer,50,16,100,0,15,0x11,0,NoRank,0xc4,0x0,NoEffect,0,0x0,0x0,0x0
Demon Surge,0x3c0,0x46f,0x0,0xab,0x7,IsWeapon|IsMagic|Unsellable,0x0,0x0,0,11,80,10,0,0x12,0,NoRank,0xc1,0x0,NoEffect,0,0x0,0x0,0x0
Shadowshot,0x3c1,0x470,0x0,0xac,0x7,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,13,70,20,0,0x3a,0,NoRank,0xc2,0x0,CannotDoubleEffect,0,0x0,0x0,0x0
Rotten Claw,0x39e,0x44e,0x0,0xad,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,7,80,8,0,0x11,0,NoRank,0xd1,0x0,NoEffect,0,0x0,0x0,0x0
Fetid Claw,0x39f,0x44f,0x0,0xae,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,12,75,10,0,0x11,0,NoRank,0xd2,0x0,NoEffect,0,0x0,0x0,0x0
Poison Claw,0x3a0,0x450,0x0,0xaf,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,6,65,10,0,0x11,0,NoRank,0xd3,0x0,PoisonEffect,0,0x0,0x0,0x0
Lethal Talon,0x3a1,0x451,0x0,0xb0,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,10,60,12,0,0x11,0,NoRank,0xd4,0x0,PoisonEffect,0,0x0,0x0,0x0
Fiery Fang,0x3a2,0x452,0x0,0xb1,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,5,90,5,0,0x11,0,NoRank,0xd5,0x0,NoEffect,0,0x0,0x0,0x0
Hellfang,0x3a3,0x453,0x0,0xb2,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,13,80,8,0,0x11,0,NoRank,0xd6,0x0,NoEffect,0,0x0,0x0,0x0
Evil Eye,0x3be,0x46d,0x0,0xb3,0x7,IsWeapon|IsMagic|Unsellable|Indestructible,0x0,0x0,0,7,85,6,0,0x12,0,NoRank,0xbe,0x0,NoEffect,0,0x0,0x0,0x0
Crimson Eye,0x3bf,0x46e,0x0,0xb4,0x7,IsWeapon|IsMagic|Unsellable|Indestructible,0x0,0x0,0,14,70,13,0,0x12,0,NoRank,0xbf,0x0,NoEffect,0,0x0,0x0,0x0
Stone,0x3bd,0x46c,0x0,0xb5,0x7,IsWeapon|IsMagic,0x0,0x0,5,0,65,8,0,0x13,0,NoRank,0xc0,0x0,StoneEffect,5,0x0,0x0,0x0
Aircalibur,0x3ac,0x45b,0x0,0xb6,0x5,IsWeapon|IsMagic,0x0,FlierEffectiveness|IsPointer,20,8,85,2,0,0x12,55,BRank,0x35,0x0,NoEffect,1,0x0,0x0,0x0
Juna Fruit,0x402,0x4aa,0x4e3,0xb7,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0xdd,0x36,NoEffect,0,0x0,0x0,0x0
150G,0x3fe,0x4a1,0x4da,0xb8,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,150,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
200G,0x3ff,0x4a1,0x4da,0xb9,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,200,NoRank,0x89,0x0,NoEffect,0,0x0,0x0,0x0
Black Gem,0x3ee,0x49d,0x0,0xba,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,30000,NoRank,0xc8,0x0,NoEffect,0,0x0,0x0,0x0
Gold Gem,0x3ed,0x49c,0x0,0xbb,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,40000,NoRank,0xc9,0x0,NoEffect,0,0x0,0x0,0x0
Skill Scroll,0xFFFF,0xFFFF,SkillScrollDesc,0xbc,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x0,0x38,NoEffect,0,0x0,0x0,0x0
0xbd,0x403,0x4ab,0x0,0xbd,0x2,IsWeapon,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Lightning,0x3b0,0x404,0x0,0xbe,Light,IsWeapon|IsMagic,0x0,0x0,40,8,85,5,0,0x11,10,ERank,LightningIcon,0x0,NoEffect,1,0x0,0x0,0x0
Shine,0x3b1,0x404,0x0,0xbf,Light,IsWeapon|IsMagic,0x0,0x0,30,12,75,8,0,0x11,20,DRank,ShineIcon,0x0,NoEffect,1,0x0,0x0,0x0
Aura,0x3b4,0x404,0x0,0xc0,Light,IsWeapon|IsMagic,0x0,0x0,20,16,65,11,0,0x11,65,BRank,AuraIcon,0x0,NoEffect,1,0x0,0x0,0x0
Resire,ResireName,HPDrainDesc,0x0,0xc1,Light,IsWeapon|IsMagic,0x0,0x0,25,9,75,9,0,0x11,0,CRank,0x0,0x0,NosferatuEffect,1,0x0,0x0,0x0
Divine Protection,DivineName,0x404,0x0,0xc2,Light,IsWeapon|IsMagic,0x0,0x0,25,11,80,14,0,0x11,0,BRank,DivineIcon,0x0,NoEffect,1,0x0,0x0,0x0
Light Javelin,LightJavelinName,0x404,0x0,0xc3,Light,IsWeapon|IsMagic,0x0,0x0,20,9,80,7,0,0x11,0,DRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Prism,PrismName,0x404,0x0,0xc4,Light,IsWeapon|IsMagic,0x0,0x0,20,10,80,10,0,0x12,0,CRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Purge,0x3b3,0x404,0x0,0xc5,Light,IsWeapon|IsMagic,0x0,0x0,30,11,80,9,0,0x12,0,CRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x4ab,0x0,0xc6,Light,IsWeapon|IsMagic,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x4ab,0x0,0xc7,Light,IsWeapon|IsMagic,0x0,0x0,0,11,80,10,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x4ab,0x0,0xc8,Light,IsWeapon|IsMagic,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Flux,0x3b6,0x404,0x0,0xc9,Dark,IsWeapon|IsMagic,0x0,0x0,40,7,90,7,0,0x12,10,ERank,FluxIcon,0x0,NoEffect,1,0x0,0x0,0x0
Shade,ShadeName,0x404,0x0,0xca,Dark,IsWeapon|IsMagic,0x0,0x0,30,11,80,10,0,0x12,20,DRank,ShadeIcon,0x0,NoEffect,1,0x0,0x0,0x0
Fenrir,0x3ba,0x404,0x0,0xcb,Dark,IsWeapon|IsMagic,0x0,0x0,20,15,70,13,0,0x12,65,BRank,FenrirIcon,0x0,NoEffect,1,0x0,0x0,0x0
Luna,0x3b7,0x404,0x0,0xcc,Dark,IsWeapon|IsMagic,0x0,0x0,25,9,80,9,0,0x11,0,CRank,LunaIcon,0x0,NoEffect,1,0x0,0x0,0x0
Eclipse,0x3b9,0x404,0x0,0xcd,Dark,IsWeapon|IsMagic,0x0,0x0,0,0,0,0,0,0x12,0,BRank,EclipseIcon,0x0,NoEffect,1,0x0,0x0,0x0
Void,VoidName,0x404,0x0,0xce,Dark,IsWeapon|IsMagic,0x0,0x0,20,7,80,9,0,0x12,0,ERank,VoidIcon,0x0,NoEffect,1,0x0,0x0,0x0
Black Hole,BlackHoleName,0x404,0x0,0xcf,Dark,IsWeapon|IsMagic,0x0,0x0,0,0,0,0,0,0x12,0,DRank,BlackHoleIcon,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x4ab,0x0,0xd0,Dark,IsMagic,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x4ab,0x0,0xd1,Dark,IsMagic,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x4ab,0x0,0xd2,Dark,IsMagic,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x4ab,0x0,0xd3,Dark,IsMagic,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Free,0x403,0x4ab,0x0,0xd4,0xc,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Iron Shield,IronShieldName,0x404,0x0,0xd5,0x9,0x0,IronShieldBonus|IsPointer,0x0,10,0,2,1,0,0x11,78,NoRank,IronShieldIcon,0x0,NoEffect,1,0x0,0x0,0x0
Steel Shield,SteelShieldName,0x404,0x0,0xd6,0x9,0x0,SteelShieldBonus|IsPointer,0x0,10,0,4,2,0,0x11,0,NoRank,SteelShieldIcon,0x0,NoEffect,1,0x0,0x0,0x0
Silver Shield,SilverShieldName,0x404,0x0,0xd7,0x9,0x0,SilverShieldBonus|IsPointer,0x0,10,0,6,4,0,0x11,0,NoRank,SilverShieldIcon,0x0,NoEffect,1,0x0,0x0,0x0
Sash,SashName,SashDesc,0x0,0xd8,0x9,0x0,SashBonus|IsPointer,0x0,10,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Four-leaf Clover,CloverName,CloverDesc,0x0,0xd9,0x9,Indestructible|PASSIVE_ITEM_BOOSTS_ATTR,CloverBonus|IsPointer,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
Magic Shield,0x403,0x4ab,0x0,0xda,0x9,0x0,MagicShieldBonus|IsPointer,0x0,10,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xdb,0x403,0x4ab,0x0,0xdb,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xdc,0x403,0x4ab,0x0,0xdc,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xdd,0x403,0x4ab,0x0,0xdd,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xde,0x403,0x4ab,0x0,0xde,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xdf,0x403,0x4ab,0x0,0xdf,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe0,0x403,0x4ab,0x0,0xe0,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe1,0x403,0x4ab,0x0,0xe1,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe2,0x403,0x4ab,0x0,0xe2,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe3,0x403,0x4ab,0x0,0xe3,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe4,0x403,0x4ab,0x0,0xe4,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe5,0x403,0x4ab,0x0,0xe5,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe6,0x403,0x4ab,0x0,0xe6,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe7,0x403,0x4ab,0x0,0xe7,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe8,0x403,0x4ab,0x0,0xe8,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xe9,0x403,0x4ab,0x0,0xe9,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xea,0x403,0x4ab,0x0,0xea,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xeb,0x403,0x4ab,0x0,0xeb,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xec,0x403,0x4ab,0x0,0xec,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xed,0x403,0x4ab,0x0,0xed,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xee,0x403,0x4ab,0x0,0xee,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xef,0x403,0x4ab,0x0,0xef,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf0,0x403,0x4ab,0x0,0xf0,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf1,0x403,0x4ab,0x0,0xf1,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf2,0x403,0x4ab,0x0,0xf2,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf3,0x403,0x4ab,0x0,0xf3,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf4,0x403,0x4ab,0x0,0xf4,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf5,0x403,0x4ab,0x0,0xf5,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf6,0x403,0x4ab,0x0,0xf6,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf7,0x403,0x4ab,0x0,0xf7,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf8,0x403,0x4ab,0x0,0xf8,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xf9,0x403,0x4ab,0x0,0xf9,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xfa,0x403,0x4ab,0x0,0xfa,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xfb,0x403,0x4ab,0x0,0xfb,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xfc,0x403,0x4ab,0x0,0xfc,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xfd,0x403,0x4ab,0x0,0xfd,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xfe,0x403,0x4ab,0x0,0xfe,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
0xff,0x403,0x4ab,0x0,0xff,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0x0,0x0,NoEffect,1,0x0,0x0,0x0
