0x95eea4,Trainee Palette,Base Palette,Second Base Palette (For Trainees),First Promotion Palette,Second Promotion Palette,Third Promotion Palette,Fourth Promotion Palette
0x1a3,0x77,0x88,0x88,0x57,0x76,0x76,0x88
0x1a4,0x88,0x88,0x58,0x87,0x88,0x88,0x88
0x1a5,0x68,0x88,0x88,0x88,0x78,0xad,0x52
0x1a6,0x55,0x65,0xaa,0x22,0x55,0x52,0xad
0x1a7,0x5a,0x52,0x25,0xdd,0x2a,0x55,0x66
0x1a8,0xad,0xa5,0x5a,0x62,0x2a,0x55,0x2a
0x1a9,0x55,0xad,0x4a,0x2a,0x52,0xdd,0xad
0x1aa,0xad,0x22,0xad,0x22,0x55,0x65,0x2a
0x1ab,0x55,0x55,0x55,0x6a,0x65,0x62,0x55
0x1ac,0x2a,0x22,0x55,0x66,0xaa,0x52,0x2a
0x1ad,0x65,0xde,0xaa,0x25,0x55,0xee,0xad
0x1ae,0xaa,0x52,0xee,0xde,0xad,0xaa,0x2a
0x1af,0x55,0x56,0x56,0x5a,0x56,0x25,0x55
0x1b0,0x2a,0x55,0x65,0x55,0xab,0x22,0x55
0x1b1,0xa2,0xde,0xaa,0x2a,0xa2,0xee,0xdd
0x1b2,0xab,0xba,0xee,0xee,0xde,0xed,0xee
0x1b3,0xdd,0xee,0xee,0x55,0x66,0x55,0xa5
0x1b4,0x52,0x55,0x55,0xa2,0x25,0x55,0x22
0x1b5,0xba,0x2a,0xa2,0xaa,0xdb,0xaa,0xba
0x1b6,0xdd,0xed,0xdd,0xdd,0xee,0xee,0xee
0x1b7,0xee,0xed,0xed,0xed,0xee,0xee,0xee
0x1b8,0xee,0xee,0xee,0xee,0xee,0xee,0xee
0x1b9,0xba,0xee,0xde,0xab,0xa2,0xee,0xde
0x1ba,0x2a,0x25,0xee,0xab,0x52,0x56,0xbe
0x1bb,0x2a,0x65,0x65,0xaa,0x22,0x65,0x65
0x1bc,0x2a,0x55,0x56,0x56,0x5a,0x65,0x56
0x1bd,0x56,0x6a,0x65,0x65,0x65,0x22,0x55
0x1be,0x55,0x52,0x5a,0x52,0x56,0x22,0x2d
0x1bf,0x56,0x25,0x25,0xad,0x52,0x52,0xa2
0x1c0,0xbd,0xaa,0x22,0xba,0xdd,0xdd,0xab
0x1c1,0xda,0x25,0xac,0xab,0xbc,0x26,0xad
0x1c2,0xbc,0xcc,0x26,0xc1,0xab,0xbc,0x65
0x1c3,0xf2,0x1b,0xbc,0x57,0x26,0xff,0xcb
0x1c4,0x87,0x26,0xd2,0xcb,0x87,0x57,0xd2
0x1c5,0xbb,0x88,0x64,0x22,0xbb,0xcb,0x1a
0x1c6,0x2a,0x82,0xcc,0xcb,0xcf,0x82,0xcb
0x1c7,0xba,0xfc,0x68,0xcb,0xba,0x2f,0x85
0x1c8,0xbc,0xbb,0x82,0x86,0xbc,0xbb,0x82
0x1c9,0x78,0xbb,0x2b,0x68,0x77,0xbb,0x2b
0x1ca,0x88,0x88,0x22,0x68,0x78,0x87,0xe1
0x1cb,0x22,0x48,0x76,0xee,0x1e,0x22,0x82
0x1cc,0xef,0xef,0xef,0x21,0x2d,0x12,0xef
0x1cd,0x22,0xfc,0x2f,0x1f,0x1f,0xca,0xdd
0x1ce,0x2f,0xff,0xca,0xca,0xfd,0xdd,0x87
0x1cf,0x77,0x87,0x68,0x77,0x87,0x88,0x58
0x1d0,0x88,0x88,0x48,0x86,0x68,0x65,0x65
0x1d1,0x88,0x82,0x64,0x77,0x88,0x22,0x6f
0x1d2,0x87,0x88,0xef,0x2e,0x88,0x88,0xe1
0x1d3,0x22,0x8f,0x86,0x23,0x8b,0x64,0x64
0x1d4,0xb4,0x2b,0x43,0x87,0x43,0x22,0x44
0x1d5,0x88,0x55,0x43,0xb5,0x83,0x76,0x88
0x1d6,0xb2,0x52,0x87,0x44,0x1b,0x42,0x76
0x1d7,0x35,0x22,0x45,0x66,0x46,0x33,0x84
0x1d8,0x65,0x35,0x82,0x88,0x78,0xe8,0x2b
0x1d9,0x83,0x48,0xb5,0x2b,0x44,0x47,0x24
0x1da,0x22,0x54,0x46,0x43,0x43,0x85,0x55
0x1db,0x42,0x44,0x86,0x57,0x54,0x88,0x58
0x1dc,0x87,0x77,0x87,0x68,0xea,0x22,0x86
0x1dd,0x88,0xfb,0x82,0x78,0x77,0xfb,0x82
0x1de,0x67,0x65,0x1a,0x62,0x65,0x88,0x1b
0x1df,0x62,0x88,0x88,0x1e,0x42,0x78,0x78
0x1e0,0x2f,0x82,0x78,0x77,0x22,0x68,0x84
0x1e1,0x88,0x4d,0xaa,0xcc,0xee,0xac,0xbb
0x1e2,0xcb,0xee,0xdd,0xba,0xdc,0xee,0xac
0x1e3,0xbb,0xdc,0xed,0xff,0xff,0xdb,0xdd
0x1e4,0x97,0xf7,0xcf,0xee,0x93,0x39,0xff
0x1e5,0xef,0x99,0x33,0x79,0x63,0xee,0xaf
0x1e6,0x4a,0xda,0xae,0xe4,0xb4,0xd4,0xee
0x1e7,0xaf,0xbf,0xde,0xee,0xff,0xb4,0xdb
0x1e8,0xee,0xae,0x4e,0xdd,0xee,0xaa,0xd4
0x1e9,0xdd,0xee,0x4e,0xaa,0xdd,0x36,0xff
0x1ea,0xda,0x3d,0x16,0xdd,0xf6,0x1d,0x17
0x1eb,0x11,0xdf,0xab,0x13,0x11,0xaf,0x14
0x1ec,0xf3,0xaa,0xf4,0xb4,0xef,0xbf,0xf4
0x1ed,0x4b,0xef,0xae,0xa4,0xae,0xe1,0xbe
0x1ee,0xba,0xa4,0x11,0x11,0xed,0xee,0xa1
0x1ef,0x11,0x17,0x3e,0xba,0x1a,0x1b,0x6f
0x1f0,0xa1,0x1b,0xff,0x3a,0x1f,0x14,0xfb
0x1f1,0x3f,0x4a,0x4b,0xa4,0x7a,0xa4,0xb4
0x1f2,0xae,0x74,0xab,0xeb,0xd1,0xda,0x11
0x1f3,0x11,0xd1,0xdd,0x67,0x76,0x76,0x77
0x1f4,0x56,0x67,0x57,0x66,0x67,0x46,0x57
0x1f5,0x65,0x67,0x76,0x77,0x65,0x57,0x55
0x1f6,0x54,0x76,0x65,0x77,0x56,0x76,0x75
0x1f7,0x57,0x77,0x76,0x65,0x56,0x76,0x76
0x1f8,0xcb,0xeb,0xe1,0x2e,0xba,0x1a,0xde
0x1f9,0x2f,0xbb,0xd1,0x1e,0xf2,0xab,0xd1
0x1fa,0xf2,0x88,0x1a,0xee,0x8f,0x78,0xd1
0x1fb,0x2e,0x88,0x66,0xbb,0xf2,0x68,0x76
0x1fc,0x2f,0x8f,0x68,0x57,0x8f,0x66,0xd2
0x1fd,0xcb,0x8f,0x76,0xe2,0xcc,0x68,0xf6
0x1fe,0xaf,0xbb,0x66,0x2f,0xae,0xcb,0x65
0x1ff,0x2f,0xbd,0xbe,0x76,0xf7,0x2f,0xe2
